Economy,Year,Score-Starting a business
Ecuador,DB2011,64
Ecuador,DB2010,61.7
Ecuador,DB2009,59.9
Ecuador,DB2008,60.6
"Egypt, Arab Rep.",DB2018,80.7
"Egypt, Arab Rep.",DB2017,80.7
"Egypt, Arab Rep.",DB2016,80.6
"Egypt, Arab Rep.",DB2015,81.2
"Egypt, Arab Rep.",DB2014,81.1
"Egypt, Arab Rep.",DB2013,80.9
"Egypt, Arab Rep.",DB2012,80.8
"Egypt, Arab Rep.",DB2011,80.6
"Egypt, Arab Rep.",DB2010,79.3
"Egypt, Arab Rep.",DB2009,78.7
"Egypt, Arab Rep.",DB2008,74.2
El Salvador,DB2018,78.9
El Salvador,DB2017,78.9
El Salvador,DB2016,78.6
El Salvador,DB2015,78.5
El Salvador,DB2014,78.4
El Salvador,DB2013,78.3
El Salvador,DB2012,78.3
El Salvador,DB2011,78.4
El Salvador,DB2010,78.6
El Salvador,DB2009,77
El Salvador,DB2008,65.6
Equatorial Guinea,DB2018,55
Equatorial Guinea,DB2017,36.9
Equatorial Guinea,DB2016,36.6
Equatorial Guinea,DB2015,36.7
Equatorial Guinea,DB2014,36.9
Equatorial Guinea,DB2013,37
Equatorial Guinea,DB2012,36.7
Equatorial Guinea,DB2011,36.1
Equatorial Guinea,DB2010,36.9
Equatorial Guinea,DB2009,36.6
Equatorial Guinea,DB2008,35.9
Eritrea,DB2018,50.6
Eritrea,DB2017,46.4
Eritrea,DB2016,46.2
Eritrea,DB2015,44.8
Eritrea,DB2014,42.8
Eritrea,DB2013,42.1
Eritrea,DB2012,38.4
Eritrea,DB2011,36
Eritrea,DB2010,33.2
Eritrea,DB2009,23.8
Eritrea,DB2008,20.9
Estonia,DB2018,95.2
Estonia,DB2017,95.1
Estonia,DB2016,95.1
Estonia,DB2015,93.3
Estonia,DB2014,91.1
Estonia,DB2013,91
Estonia,DB2012,90.9
Estonia,DB2011,90.8
Estonia,DB2010,91
Estonia,DB2009,90.9
Estonia,DB2008,90.6
Eswatini,DB2018,74.4
Eswatini,DB2017,74.3
Eswatini,DB2016,73.5
Eswatini,DB2015,73.5
Eswatini,DB2014,70.9
Eswatini,DB2013,66.8
Eswatini,DB2012,66.2
Eswatini,DB2011,65.7
Eswatini,DB2010,64.6
Eswatini,DB2009,64.5
Eswatini,DB2008,64
Ethiopia,DB2018,68.4
Ethiopia,DB2017,56
Ethiopia,DB2016,53.6
Ethiopia,DB2015,49.2
Ethiopia,DB2014,46.6
Ethiopia,DB2013,37.6
Ethiopia,DB2012,27.9
Ethiopia,DB2011,32.4
Ethiopia,DB2010,30.4
Ethiopia,DB2009,51.8
Ethiopia,DB2008,50.3
Fiji,DB2018,73.3
Fiji,DB2017,73.1
Fiji,DB2016,68.2
Fiji,DB2015,68
Fiji,DB2014,68
Fiji,DB2013,67.8
Fiji,DB2012,74.2
Fiji,DB2011,75.8
Fiji,DB2010,75.6
Fiji,DB2009,75.6
Fiji,DB2008,75.6
Finland,DB2018,92.4
Finland,DB2017,92.4
Finland,DB2016,92.4
Finland,DB2015,92.4
Finland,DB2014,92.4
Finland,DB2013,92.4
Finland,DB2012,92.3
Finland,DB2011,92.3
Finland,DB2010,92.3
Finland,DB2009,92.3
Finland,DB2008,92.3
France,DB2018,93.3
France,DB2017,93.3
France,DB2016,93.1
France,DB2015,93
France,DB2014,92.5
France,DB2013,92.5
France,DB2012,92.5
France,DB2011,92.5
France,DB2010,92.5
France,DB2009,92.5
France,DB2008,92.4
Gabon,DB2018,80.5
Gabon,DB2017,74.1
Gabon,DB2016,74
Gabon,DB2015,73.7
Gabon,DB2014,73.8
Gabon,DB2013,70.1
Gabon,DB2012,69.5
Gabon,DB2011,68.5
Gabon,DB2010,69.4
Gabon,DB2009,68.9
Gabon,DB2008,67.7
"Gambia, The",DB2018,69
"Gambia, The",DB2017,69.4
"Gambia, The",DB2016,67.3
"Gambia, The",DB2015,68.4
"Gambia, The",DB2014,61.3
"Gambia, The",DB2013,63.2
"Gambia, The",DB2012,58
"Gambia, The",DB2011,58.1
"Gambia, The",DB2010,58
"Gambia, The",DB2009,58
"Gambia, The",DB2008,55.3
Georgia,DB2018,97.8
Georgia,DB2017,97.8
Georgia,DB2016,97.7
Georgia,DB2015,97.7
Georgia,DB2014,97.7
Georgia,DB2013,97.6
Georgia,DB2012,97.6
Georgia,DB2011,95.8
Georgia,DB2010,96
Georgia,DB2009,95.9
Georgia,DB2008,90.3
Germany,DB2018,83.5
Germany,DB2017,83.5
Germany,DB2016,82.7
Germany,DB2015,81.4
Germany,DB2014,81.8
Germany,DB2013,81.7
Germany,DB2012,81.6
Germany,DB2011,81.5
Germany,DB2010,80.8
Germany,DB2009,80.6
Germany,DB2008,80.5
Ghana,DB2018,84
Ghana,DB2017,83.7
Ghana,DB2016,83.7
Ghana,DB2015,83.7
